# BLUE: tile seq     <mag> cat x y <err> <err>r filt chi2w chi2r nhip that te A1max t0 Ablu0 chi2dof probfit delc2 fnhip fachrom befaft crdrej pchi2 pnum pnumf probin probout ra dec
#77008   108    -9.166   1    1541.5    1395.1   0.01523   0.01502     256.1     206.4     139.8    9         0         0         0          0         0         0         0         0   0         0      0        0         0   0   0         0         0 81056 -69500.7
#    time delta-mag delta-mag-err obsid   seeing   sky     airmass version type dsky psfc2 crd cosm miss pier
 218.7758    0.1545   0.01648   771  5.926   2695      0  63  1     0  134    0    0    0  0
 219.8242     0.471   0.02099   810  4.312   6273      0  63  1     0  126    0    0    0  0
  220.776    0.4521   0.02102   845  7.008   3272      0  63  1     0  105    9    0    0  0
 226.7787   -0.2195    0.0113   868   5.38 1.125e+04      0  63  1     0  119    0    0    0  0
 259.6066    0.4805   0.02091  1100   3.86   6002      0  63  1     0  214    0    0    0  0
  261.618    0.2823   0.01811  1103  5.479   3553      0  63  1     0  153    0    0    0  0
 261.6642    0.2753   0.01801  1113  4.913   3910      0  63  1     0  165    0    0    0  0
 261.7043    0.2624   0.01783  1123  5.118   4007      0  63  1     0  193    0    0    0  0
 261.7801      0.28   0.01827  1130  6.671   3863      0  63  1     0  159    4    0    0  0
 262.5851    0.1545    0.0163  1137  3.853   3679      0  63  1     0  224    0    0    0  0
 264.6492  -0.06932   0.01372  1178  6.824   3556      0  62  1     0   93    7    0    0  0
 265.7041   -0.1675   0.01188  1200  4.976   3198      0  63  1     0  194    0    0    0  0
 269.7287  -0.01463   0.01391  1223  5.129   2803      0  63  1     0  156    0    0    0  0
 271.7101    0.3614   0.01943  1236  6.353   2673      0  63  1     0  153    0    0    0  0
 272.6892    0.4791  -0.02089  1260  3.381   3050      0  62  1     0  176  255    0  203  0
  272.692    0.4859   0.02098  1261  3.809   1642      0  62  1     0  168    0    0    0  0
 272.7019      0.49  -0.02126  1264  3.622  918.3      0  63 41     0  130    0    0    0  0
 273.7376    0.4322   0.02022  1282  4.512   3468      0  63  1     0  153    0    0    0  0
 278.7684   -0.1682   0.01226  1298  6.563   3404      0  62  1     0  224    0    0    0  0
 278.7747   -0.1751   0.01165  1299  4.038   4824      0  62  1     0  149    0    0    0  0
 283.5562   0.01111   0.01464  1302  4.983 2.305e+04      0  63  1     0  136    0    0    0  0
